catalogNo,brand,name,category,spec,unit,detectedSpecies,application,host,reactivity,conjugate,casNo,sampleType,listPrice,memberPrice,wholesalePrice,remark
ADS-W-AJS004-48,艾迪生,脯氨酸(PRO)含量试剂盒,reagent,48样,,,,,,,,,699,419.4,524.25,
ADS-W-AJS004,艾迪生,脯氨酸(PRO)含量试剂盒,reagent,96样,,,,,,,,,1368,820.8,1026,
ADS-F-YH002,艾迪生,丙二醛(MDA)试剂盒,reagent,48样,,,,,,,,,243,145.8,182.25,
ADS-F-YH002-96,艾迪生,丙二醛(MDA)试剂盒,reagent,96样,,,,,,,,,456,273.6,342,
ADS-W-YH002-48,艾迪生,丙二醛(MDA)试剂盒,reagent,48样,,,,,,,,,304,182.4,228,
ADS-W-YH002,艾迪生,丙二醛(MDA)试剂盒,reagent,96样,,,,,,,,,365,219,273.75,
ADS-W-YH002-196,艾迪生,丙二醛(MDA)试剂盒,reagent,196样,,,,,,,,,699,419.4,524.25,
ADS-F-YH003-48,艾迪生,黄嘌呤氧化酶（XOD）试剂盒,reagent,48样,,,,,,,,,441,264.6,330.75,
ADS-W-YH003,艾迪生,黄嘌呤氧化酶（XOD）试剂盒,reagent,96样,,,,,,,,,790,474,592.5,
ADS-F-YH012,艾迪生,超氧阴离子(OFR)含量/超氧阴离子产生速率检测试剂盒,reagent,48样,,,,,,,,,800,480,600,
ADS-W-YH012-48,艾迪生,超氧阴离子(OFR)含量/超氧阴离子产生速率检测试剂盒,reagent,48样,,,,,,,,,804,482.4,603,
ADS-W-YH012,艾迪生,超氧阴离子(OFR)含量/超氧阴离子产生速率检测试剂盒,reagent,96样,,,,,,,,,1583,949.8,1187.25,
ADS-F-YH006-24,艾迪生,蛋白质羰基（PCO）试剂盒,reagent,24样,,,,,,,,,500,300,375,
ADS-F-YH006-48,艾迪生,蛋白质羰基（PCO）试剂盒,reagent,48样,,,,,,,,,760,456,570,
ADS-W-YH006-48,艾迪生,蛋白质羰基（PCO）试剂盒,reagent,48样,,,,,,,,,800,480,600,
ADS-W-YH006-96,艾迪生,蛋白质羰基（PCO）试剂盒,reagent,96样,,,,,,,,,1338,802.8,1003.5,
ADS-F-YH007-24,艾迪生,二胺氧化酶(DAO)试剂盒,reagent,24样,,,,,,,,,633,379.8,474.75,
ADS-F-YH007-48,艾迪生,二胺氧化酶(DAO)试剂盒,reagent,48样,,,,,,,,,882,529.2,661.5,
ADS-W-YH007-48,艾迪生,二胺氧化酶(DAO)试剂盒,reagent,48样,,,,,,,,,730,438,547.5,
ADS-W-YH007-96,艾迪生,二胺氧化酶(DAO)试剂盒,reagent,96样,,,,,,,,,1429,857.4,1071.75,
ADS-F-YH001,艾迪生,过氧化氢(H2O2)试剂盒,reagent,48样,,,,,,,,,258,154.8,193.5,
ADS-W-YH001-48,艾迪生,过氧化氢(H2O2)试剂盒,reagent,48样,,,,,,,,,289,173.4,216.75,
ADS-W-YH001,艾迪生,过氧化氢(H2O2)试剂盒,reagent,96样,,,,,,,,,502,301.2,376.5,
ADS-F-GOD001,艾迪生,葡萄糖氧化酶（GOD）活性测定试剂盒,reagent,48样,,,,,,,,,320,192,240,
ADS-W-GOD001,艾迪生,葡萄糖氧化酶（GOD）活性测定试剂盒,reagent,96样,,,,,,,,,532,319.2,399,
ADS-F-KY022,艾迪生,植物类黄酮（Flavonoid）检测试剂盒,reagent,48样,,,,,,,,,547,328.2,410.25,
ADS-W-KY022,艾迪生,植物类黄酮（Flavonoid）检测试剂盒,reagent,96样,,,,,,,,,1064,638.4,798,
ADS-F-KY010,艾迪生,尿酸(UA)含量检测试剂盒,reagent,48样,,,,,,,,,152,91.2,114,
ADS-W-KY010,艾迪生,尿酸(UA)含量检测试剂盒,reagent,96样,,,,,,,,,182,109.2,136.5,
ADS-F-KY006,艾迪生,羟自由基清除能力试剂盒,reagent,48样,,,,,,,,,608,364.8,456,
ADS-W-KY006-48,艾迪生,羟自由基清除能力试剂盒,reagent,48样,,,,,,,,,652,391.2,489,
ADS-W-KY006,艾迪生,羟自由基清除能力试剂盒,reagent,96样,,,,,,,,,882,529.2,661.5,
ADS-F-KY023,艾迪生,铜蓝蛋白检测试剂盒,reagent,48样,,,,,,,,,250,150,187.5,
ADS-W-KY023,艾迪生,铜蓝蛋白检测试剂盒,reagent,96样,,,,,,,,,483,289.8,362.25,
ADS-F-KY024,艾迪生,植物原花青素(OPC)检测试剂盒,reagent,48样,,,,,,,,,1333,799.8,999.75,
ADS-W-KY024,艾迪生,植物原花青素(OPC)检测试剂盒,reagent,96样,,,,,,,,,2667,1600.2,2000.25,
ADS-F-KY025-24,艾迪生,植物总酚(TP)检测试剂盒,reagent,24样,,,,,,,,,304,182.4,228,
ADS-F-KY025,艾迪生,植物总酚(TP)检测试剂盒,reagent,48样,,,,,,,,,623,373.8,467.25,
ADS-W-KY025,艾迪生,植物总酚(TP)检测试剂盒,reagent,48样,,,,,,,,,608,364.8,456,
ADS-W-KY025-96,艾迪生,植物总酚(TP)检测试剂盒,reagent,96样,,,,,,,,,1231,738.6,923.25,
ADS-F-KY005-48,艾迪生,总抗氧化能力(T-AOC)检测试剂盒,reagent,48样,,,,,,,,,228,136.8,171,
ADS-W-KY005-48,艾迪生,总抗氧化能力(T-AOC)检测试剂盒,reagent,48样,,,,,,,,,274,164.4,205.5,
ADS-W-KY005-96,艾迪生,总抗氧化能力(T-AOC)检测试剂盒,reagent,96样,,,,,,,,,456,273.6,342,
ADS-F-KY015-48,艾迪生,总巯基（TTs）检测试剂盒,reagent,48样,,,,,,,,,182,109.2,136.5,
ADS-W-KY015-96,艾迪生,总巯基（TTs）检测试剂盒,reagent,96样,,,,,,,,,304,182.4,228,
ADS-F-FM001,艾迪生,辅酶Ⅰ NAD+/NADH含量检测试剂盒,reagent,24样,,,,,,,,,806,483.6,604.5,
ADS-W-FM001,艾迪生,辅酶Ⅰ NAD+/NADH含量检测试剂盒,reagent,48样,,,,,,,,,1444,866.4,1083,
ADS-F-FM007,艾迪生,NADH氧化酶(NOX)试剂盒,reagent,48样,,,,,,,,,669,401.4,501.75,
ADS-W-FM007,艾迪生,NADH氧化酶(NOX)试剂盒,reagent,96样,,,,,,,,,1292,775.2,969,
ADS-F-FM005,艾迪生,NADP-苹果酸脱氢酶(NADP-MDH)试剂盒,reagent,48样,,,,,,,,,456,273.6,342,
ADS-W-FM005,艾迪生,NADP-苹果酸脱氢酶(NADP-MDH)试剂盒,reagent,96样,,,,,,,,,882,529.2,661.5,
ADS-F-FM002-48,艾迪生,NAD激酶(NADK)试剂盒,reagent,48样,,,,,,,,,1277,766.2,957.75,
ADS-W-FM002-96,艾迪生,NAD激酶(NADK)试剂盒,reagent,96样,,,,,,,,,2037,1222.2,1527.75,
ADS-F-FM004,艾迪生,NAD-苹果酸脱氢酶(NAD-MDH)试剂盒,reagent,48样,,,,,,,,,395,237,296.25,
ADS-W-FM004,艾迪生,NAD-苹果酸脱氢酶(NAD-MDH)试剂盒,reagent,96样,,,,,,,,,775,465,581.25,
ADS-F-GH004-25,艾迪生,二磷酸核酮糖羧化酶(Rubisco)试剂盒,reagent,24样,,,,,,,,,2736,1641.6,2052,
ADS-F-GH004-50,艾迪生,二磷酸核酮糖羧化酶(Rubisco)试剂盒,reagent,48样,,,,,,,,,4256,2553.6,3192,
ADS-W-GH004-48,艾迪生,二磷酸核酮糖羧化酶(Rubisco)试剂盒,reagent,48样,,,,,,,,,3192,1915.2,2394,
ADS-W-GH004,艾迪生,二磷酸核酮糖羧化酶(Rubisco)试剂盒,reagent,96样,,,,,,,,,5776,3465.6,4332,
ADS-F-FM008-09,艾迪生,柠檬酸合酶(CS)检测试剂盒,reagent,9样,,,,,,,,,1333,799.8,999.75,
ADS-F-FM008-100,艾迪生,柠檬酸合酶(CS)检测试剂盒,reagent,24样,,,,,,,,,3344,2006.4,2508,
ADS-F-FM008-48,艾迪生,柠檬酸合酶(CS)检测试剂盒,reagent,48样,,,,,,,,,6667,4000.2,5000.25,
ADS-W-FM008,艾迪生,柠檬酸合酶(CS)检测试剂盒,reagent,48样,,,,,,,,,4864,2918.4,3648,
ADS-F-FM003-48,艾迪生,乳酸脱氢酶(LDH)检测试剂盒,reagent,48样,,,,,,,,,228,136.8,171,
ADS-W-FM003-96,艾迪生,乳酸脱氢酶(LDH)检测试剂盒,reagent,96样,,,,,,,,,425,255,318.75,
ADS-F-FM022,艾迪生,6-磷酸葡萄糖酸脱氢酶(6PGDH)试剂盒,reagent,48样,,,,,,,,,1094,656.4,820.5,
ADS-W-FM022,艾迪生,6-磷酸葡萄糖酸脱氢酶(6PGDH)试剂盒,reagent,96样,,,,,,,,,1900,1140,1425,
ADS-F-FM018-48,艾迪生,6-磷酸葡萄糖脱氢酶(G6PDH)试剂盒,reagent,48样,,,,,,,,,1094,656.4,820.5,
ADS-W-FM018,艾迪生,6-磷酸葡萄糖脱氢酶(G6PDH)试剂盒,reagent,96样,,,,,,,,,1900,1140,1425,
ADS-F-FM015,艾迪生,辅酶ⅡNADP+/NADPH含量试剂盒,reagent,24样,,,,,,,,,806,483.6,604.5,
ADS-W-FM015,艾迪生,辅酶ⅡNADP+/NADPH含量试剂盒,reagent,48样,,,,,,,,,1490,894,1117.5,
ADS-F-FM036,艾迪生,NADP磷酸酶(NADPase)检测试剂盒,reagent,48样,,,,,,,,,867,520.2,650.25,
ADS-W-FM036,艾迪生,NADP磷酸酶(NADPase)检测试剂盒,reagent,96样,,,,,,,,,1633,979.8,1224.75,
ADS-F-FM020-48,艾迪生,NADP苹果酸酶(NADP-ME)试剂盒,reagent,48样,,,,,,,,,486,291.6,364.5,
ADS-W-FM020,艾迪生,NADP苹果酸酶(NADP-ME)试剂盒,reagent,96样,,,,,,,,,912,547.2,684,
ADS-F-FM021-48,艾迪生,NAD-苹果酸酶(NAD-ME)试剂盒,reagent,48样,,,,,,,,,532,319.2,399,
ADS-W-FM021,艾迪生,NAD-苹果酸酶(NAD-ME)试剂盒,reagent,96样,,,,,,,,,988,592.8,741,
ADS-F-S016,艾迪生,细胞质异柠檬酸脱氢酶(NADP-IDH)试剂盒,reagent,48样,,,,,,,,,395,237,296.25,
ADS-W-S016,艾迪生,细胞质异柠檬酸脱氢酶(NADP-IDH)试剂盒,reagent,96样,,,,,,,,,760,456,570,
ADS-F-N029-24,艾迪生,谷氨酸合成酶(GOGAT)检测试剂盒,reagent,24样,,,,,,,,,1034,620.4,775.5,
ADS-F-N029,艾迪生,谷氨酸合成酶(GOGAT)检测试剂盒,reagent,48样,,,,,,,,,1140,684,855,
ADS-W-N029-48,艾迪生,谷氨酸合成酶(GOGAT)检测试剂盒,reagent,48样,,,,,,,,,1672,1003.2,1254,
ADS-W-N029,艾迪生,谷氨酸合成酶(GOGAT)检测试剂盒,reagent,96样,,,,,,,,,1823,1093.8,1367.25,
ADS-F-N030,艾迪生,谷氨酸脱氢酶(GDH)检测试剂盒,reagent,48样,,,,,,,,,760,456,570,
ADS-W-N030,艾迪生,谷氨酸脱氢酶(GDH)检测试剂盒,reagent,96样,,,,,,,,,1429,857.4,1071.75,
ADS-F-N007,艾迪生,食品中亚硝酸盐含量试剂盒,reagent,48样,,,,,,,,,304,182.4,228,
ADS-W-N007,艾迪生,食品中亚硝酸盐含量试剂盒,reagent,96样,,,,,,,,,578,346.8,433.5,
ADS-F-N006,艾迪生,水土中亚硝酸盐含量试剂盒,reagent,48样,,,,,,,,,213,127.8,159.75,
ADS-W-N006,艾迪生,水土中亚硝酸盐含量试剂盒,reagent,96样,,,,,,,,,410,246,307.5,
ADS-F-AJS005,艾迪生,氨基酸(AA)含量试剂盒,reagent,48样,,,,,,,,,122,73.2,91.5,
ADS-W-AJS005,艾迪生,氨基酸(AA)含量试剂盒,reagent,96样,,,,,,,,,228,136.8,171,
ADS-F-AJS006,艾迪生,半胱氨酸(Cys)含量试剂盒,reagent,48样,,,,,,,,,471,282.6,353.25,
ADS-W-AJS006,艾迪生,半胱氨酸(Cys)含量试剂盒,reagent,96样,,,,,,,,,912,547.2,684,
ADS-F-AJS007-48,艾迪生,谷氨酸(Glu)含量试剂盒,reagent,48样,,,,,,,,,547,328.2,410.25,
ADS-W-AJS007,艾迪生,谷氨酸(Glu)含量试剂盒,reagent,96样,,,,,,,,,882,529.2,661.5,
ADS-F-N008,艾迪生,谷氨酰胺合成酶(GS)试剂盒,reagent,24样,,,,,,,,,426,255.6,319.5,
ADS-F-N008-48,艾迪生,谷氨酰胺合成酶(GS)试剂盒,reagent,48样,,,,,,,,,745,447,558.75,
ADS-W-N008,艾迪生,谷氨酰胺合成酶(GS)试剂盒,reagent,48样,,,,,,,,,821,492.6,615.75,
ADS-W-N008-96,艾迪生,谷氨酰胺合成酶(GS)试剂盒,reagent,96样,,,,,,,,,1398,838.8,1048.5,
ADS-F-AJS001-48,艾迪生,谷丙转氨酶/丙氨酸氨基转氨酶(GPT/ALT)试剂盒,reagent,48样,,,,,,,,,152,91.2,114,
ADS-W-AJS001-96,艾迪生,谷丙转氨酶/丙氨酸氨基转氨酶(GPT/ALT)试剂盒,reagent,96样,,,,,,,,,182,109.2,136.5,
ADS-F-AJS002-48,艾迪生,谷草转氨酶/天冬氨酸氨基转氨酶(GOT/AST)试剂盒,reagent,48样,,,,,,,,,152,91.2,114,
ADS-W-AJS002-96,艾迪生,谷草转氨酶/天冬氨酸氨基转氨酶(GOT/AST)试剂盒,reagent,96样,,,,,,,,,182,109.2,136.5,
ADS-F-A003,艾迪生,Ca2+ Mg2+—ATP酶试剂盒,reagent,24样,,,,,,,,,304,182.4,228,
ADS-W-A003,艾迪生,Ca2+ Mg2+—ATP酶试剂盒,reagent,48样,,,,,,,,,578,346.8,433.5,
ADS-F-A002,艾迪生,Na+k+—ATP酶试剂盒,reagent,24样,,,,,,,,,289,173.4,216.75,
ADS-W-A002,艾迪生,Na+k+—ATP酶试剂盒,reagent,48样,,,,,,,,,486,291.6,364.5,
ADS-F-TDX015,艾迪生,α-半乳糖苷酶(α-GAL)试剂盒,reagent,24样,,,,,,,,,851,510.6,638.25,
ADS-W-TDX015,艾迪生,α-半乳糖苷酶(α-GAL)试剂盒,reagent,48样,,,,,,,,,1459,875.4,1094.25,
ADS-F-TDX013,艾迪生,α-葡萄糖苷酶(α - GC)试剂盒,reagent,24样,,,,,,,,,745,447,558.75,
ADS-W-TDX013,艾迪生,α-葡萄糖苷酶(α - GC)试剂盒,reagent,48样,,,,,,,,,1459,875.4,1094.25,
ADS-F-TDX012-48,艾迪生,"β-1,3葡聚糖酶(β-1,3-GA)试剂盒",reagent,48样,,,,,,,,,821,492.6,615.75,
ADS-W-TDX012-96,艾迪生,"β-1,3葡聚糖酶(β-1,3-GA)试剂盒",reagent,96样,,,,,,,,,1490,894,1117.5,
ADS-F-TDX016,艾迪生,β-半乳糖苷酶(β-GAL)试剂盒,reagent,24样,,,,,,,,,851,510.6,638.25,
ADS-W-TDX016,艾迪生,β-半乳糖苷酶(β-GAL)试剂盒,reagent,48样,,,,,,,,,1459,875.4,1094.25,
ADS-F-TDX021,艾迪生,β-木糖苷酶试剂盒,reagent,24样,,,,,,,,,1186,711.6,889.5,
ADS-W-TDX021,艾迪生,β-木糖苷酶试剂盒,reagent,48样,,,,,,,,,2098,1258.8,1573.5,
ADS-F-TDX022,艾迪生,α-木糖苷酶试剂盒,reagent,24样,,,,,,,,,2067,1240.2,1550.25,
ADS-W-TDX022,艾迪生,α-木糖苷酶试剂盒,reagent,48样,,,,,,,,,2979,1787.4,2234.25,
ADS-F-TDX014,艾迪生,β-葡萄糖苷酶(β-GC)/纤维二糖酶试剂盒,reagent,24样,,,,,,,,,745,447,558.75,
ADS-W-TDX014,艾迪生,β-葡萄糖苷酶(β-GC)/纤维二糖酶试剂盒,reagent,48样,,,,,,,,,1459,875.4,1094.25,
ADS-F-TDX040-50,艾迪生,葡萄糖含量检测试剂盒,reagent,48样,,,,,,,,,228,136.8,171,
ADS-W-TDX040-100,艾迪生,葡萄糖含量检测试剂盒,reagent,96样,,,,,,,,,426,255.6,319.5,
ADS-F-TDX010-48,艾迪生,还原糖含量试剂盒,reagent,48样,,,,,,,,,395,237,296.25,
ADS-W-TDX010-96,艾迪生,还原糖含量试剂盒,reagent,96样,,,,,,,,,760,456,570,
ADS-F-TDX006-50,艾迪生,海藻糖含量检测试剂盒,reagent,48样,,,,,,,,,486,291.6,364.5,
ADS-W-TDX006-100,艾迪生,海藻糖含量检测试剂盒,reagent,96样,,,,,,,,,897,538.2,672.75,
ADS-F-TDX007,艾迪生,海藻糖酶(Trehalase)试剂盒,reagent,24样,,,,,,,,,760,456,570,
ADS-W-TDX007,艾迪生,海藻糖酶(Trehalase)试剂盒,reagent,48样,,,,,,,,,1459,875.4,1094.25,
ADS-F-TDX064-24,艾迪生,碱性木聚糖酶(BAX)检测试剂盒,reagent,24样,,,,,,,,,821,492.6,615.75,
ADS-W-TDX064-48,艾迪生,碱性木聚糖酶(BAX)检测试剂盒,reagent,48样,,,,,,,,,1444,866.4,1083,
ADS-F-TDX008,艾迪生,山梨醇含量检测试剂盒,reagent,48样,,,,,,,,,456,273.6,342,
ADS-W-TDX008,艾迪生,山梨醇含量检测试剂盒,reagent,96样,,,,,,,,,821,492.6,615.75,
ADS-F-TDX068,艾迪生,山梨醇脱氢酶(SDH)检测试剂盒,reagent,48样,,,,,,,,,699,419.4,524.25,
ADS-W-TDX068,艾迪生,山梨醇脱氢酶(SDH)检测试剂盒,reagent,96样,,,,,,,,,1368,820.8,1026,
ADS-F-TDX069,艾迪生,酸性木聚糖酶(ACX)检测试剂盒,reagent,48样,,,,,,,,,821,492.6,615.75,
ADS-W-TDX069,艾迪生,酸性木聚糖酶(ACX)检测试剂盒,reagent,96样,,,,,,,,,1444,866.4,1083,
ADS-F-TDX070,艾迪生,糖原含量检测试剂盒,reagent,48样,,,,,,,,,608,364.8,456,
ADS-W-TDX070-48,艾迪生,糖原含量检测试剂盒,reagent,48样,,,,,,,,,486,291.6,364.5,
ADS-W-TDX070,艾迪生,糖原含量检测试剂盒,reagent,96样,,,,,,,,,882,529.2,661.5,
ADS-F-TDX036-24,艾迪生,"内切-β-1,4-葡聚糖酶/纤维素酶试剂盒",reagent,24样,,,,,,,,,790,474,592.5,
ADS-W-TDX036-48,艾迪生,"内切-β-1,4-葡聚糖酶/纤维素酶试剂盒",reagent,48样,,,,,,,,,1490,894,1117.5,
ADS-F-TDX001-48,艾迪生,血糖含量检测试剂盒,reagent,48样,,,,,,,,,228,136.8,171,
ADS-W-TDX001-96,艾迪生,血糖含量检测试剂盒,reagent,96样,,,,,,,,,426,255.6,319.5,
ADS-F-TDX039-48,艾迪生,植物可溶性糖含量检测试剂盒,reagent,48样,,,,,,,,,274,164.4,205.5,
ADS-W-TDX039-50,艾迪生,植物可溶性糖含量检测试剂盒,reagent,48样,,,,,,,,,304,182.4,228,
ADS-W-TDX039-96,艾迪生,植物可溶性糖含量检测试剂盒,reagent,96样,,,,,,,,,532,319.2,399,
ADS-F-TDX071,艾迪生,果糖(FT)含量检测试剂盒,reagent,48样,,,,,,,,,395,237,296.25,
ADS-W-TDX071,艾迪生,果糖(FT)含量检测试剂盒,reagent,96样,,,,,,,,,790,474,592.5,
ADS-F-TDX060,艾迪生,中性木聚糖酶（NEX）试剂盒,reagent,48样,,,,,,,,,821,492.6,615.75,
ADS-W-TDX060,艾迪生,中性木聚糖酶（NEX）试剂盒,reagent,96样,,,,,,,,,1444,866.4,1083,
ADS-F-T026,艾迪生,丙酮酸(pyruvic acid PA)含量检测试剂盒,reagent,48样,,,,,,,,,684,410.4,513,
ADS-W-T026,艾迪生,丙酮酸(pyruvic acid PA)含量检测试剂盒,reagent,96样,,,,,,,,,1246,747.6,934.5,
ADS-F-T002,艾迪生,丙酮酸激酶(PK)试剂盒,reagent,48样,,,,,,,,,684,410.4,513,
ADS-W-T002,艾迪生,丙酮酸激酶(PK)试剂盒,reagent,96样,,,,,,,,,1338,802.8,1003.5,
ADS-F-T003,艾迪生,果糖-6-磷酸激酶试剂盒,reagent,48样,,,,,,,,,1034,620.4,775.5,
ADS-W-T003,艾迪生,果糖-6-磷酸激酶试剂盒,reagent,96样,,,,,,,,,1976,1185.6,1482,
ADS-F-T001,艾迪生,己糖激酶(HK)试剂盒,reagent,48样,,,,,,,,,760,456,570,
ADS-W-T001,艾迪生,己糖激酶(HK)试剂盒,reagent,96样,,,,,,,,,1490,894,1117.5,
ADS-F-T004,艾迪生,磷酸烯醇式丙酮酸羧化酶(PEPC)试剂盒,reagent,48样,,,,,,,,,821,492.6,615.75,
ADS-W-T004,艾迪生,磷酸烯醇式丙酮酸羧化酶(PEPC)试剂盒,reagent,96样,,,,,,,,,1596,957.6,1197,
ADS-F-S019,艾迪生,柠檬酸(CA)含量检测试剂盒,reagent,48样,,,,,,,,,2736,1641.6,2052,
ADS-W-S019-48,艾迪生,柠檬酸(CA)含量检测试剂盒,reagent,48样,,,,,,,,,2250,1350,1687.5,
ADS-W-S019,艾迪生,柠檬酸(CA)含量检测试剂盒,reagent,96样,,,,,,,,,3648,2188.8,2736,
ADS-F-S001,艾迪生,α-酮戊二酸脱氢酶(α-KGDH)试剂盒,reagent,48样,,,,,,,,,973,583.8,729.75,
ADS-W-S001,艾迪生,α-酮戊二酸脱氢酶(α-KGDH)试剂盒,reagent,96样,,,,,,,,,1806,1083.6,1354.5,
ADS-F-S004,艾迪生,丙酮酸脱氢酶(PDH)试剂盒,reagent,48样,,,,,,,,,1034,620.4,775.5,
ADS-W-S004,艾迪生,丙酮酸脱氢酶(PDH)试剂盒,reagent,96样,,,,,,,,,1885,1131,1413.75,
ADS-F-S003,艾迪生,琥珀酸脱氢酶(SDH)试剂盒,reagent,48样,,,,,,,,,395,237,296.25,
ADS-W-S003,艾迪生,琥珀酸脱氢酶(SDH)试剂盒,reagent,96样,,,,,,,,,745,447,558.75,
ADS-F-S005-48,艾迪生,线粒体异柠檬酸脱氢酶(ICDHm)试剂盒,reagent,48样,,,,,,,,,395,237,296.25,
ADS-W-S005,艾迪生,线粒体异柠檬酸脱氢酶(ICDHm)试剂盒,reagent,96样,,,,,,,,,760,456,570,
ADS-F-S009-09,艾迪生,乙酰辅酶A含量试剂盒,reagent,9样,,,,,,,,,833,499.8,624.75,
ADS-F-S009,艾迪生,乙酰辅酶A含量试剂盒,reagent,24样,,,,,,,,,1976,1185.6,1482,
ADS-F-S009-100,艾迪生,乙酰辅酶A含量试剂盒,reagent,48样,,,,,,,,,3648,2188.8,2736,
ADS-W-S009-48,艾迪生,乙酰辅酶A含量试剂盒,reagent,48样,,,,,,,,,3496,2097.6,2622,
ADS-W-S009,艾迪生,乙酰辅酶A含量试剂盒,reagent,96样,,,,,,,,,6840,4104,5130,
ADS-F-FM006-48,艾迪生,线粒体复合体Ⅰ检测试剂盒,reagent,48样,,,,,,,,,2736,1641.6,2052,
ADS-W-FM006,艾迪生,线粒体复合体Ⅰ检测试剂盒,reagent,96样,,,,,,,,,3344,2006.4,2508,
ADS-F-X002-48,艾迪生,线粒体复合体Ⅱ检测试剂盒,reagent,48样,,,,,,,,,2736,1641.6,2052,
ADS-W-X002,艾迪生,线粒体复合体Ⅱ检测试剂盒,reagent,96样,,,,,,,,,3344,2006.4,2508,
ADS-F-X012,艾迪生,线粒体复合体Ⅲ检测试剂盒,reagent,48样,,,,,,,,,2402,1441.2,1801.5,
ADS-W-X012,艾迪生,线粒体复合体Ⅲ检测试剂盒,reagent,96样,,,,,,,,,3344,2006.4,2508,
